
2024/12/30 (15:40:56) | ===> btop++ v.1.4.0
2024/12/30 (15:40:56) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/30 (15:40:56) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/30 (15:41:10) | ===> btop++ v.1.4.0
2024/12/30 (15:41:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/30 (15:41:10) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/30 (15:41:13) | ===> btop++ v.1.4.0
2024/12/30 (15:41:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/30 (15:41:13) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/01 (20:33:37) | ===> btop++ v.1.4.0
2025/01/01 (20:33:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/01 (20:33:37) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/15 (21:19:15) | ===> btop++ v.1.4.0
2025/01/15 (21:19:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/15 (21:19:15) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/16 (22:27:00) | ===> btop++ v.1.4.0
2025/01/16 (22:27:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/16 (22:27:00) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/15 (16:37:10) | ===> btop++ v.1.4.0
2025/02/15 (16:37:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/15 (16:37:10) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/15 (16:37:10) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (11:41:47) | ===> btop++ v.1.4.0
2025/03/17 (11:41:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/17 (11:41:47) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/17 (11:44:41) | ===> btop++ v.1.4.0
2025/03/17 (11:44:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/17 (11:44:41) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/18 (11:47:01) | ===> btop++ v.1.4.0
2025/03/18 (11:47:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/18 (11:47:01) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/18 (11:47:25) | WARNING: Failed to join _runner thread on exit!

2025/03/18 (11:53:41) | ===> btop++ v.1.4.0
2025/03/18 (11:53:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/18 (11:53:41) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/18 (11:53:44) | WARNING: Failed to join _runner thread on exit!

2025/03/18 (12:00:38) | ===> btop++ v.1.4.0
2025/03/18 (12:00:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/18 (12:00:38) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/25 (11:45:08) | ===> btop++ v.1.4.0
2025/03/25 (11:45:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/25 (11:45:08) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/26 (11:57:32) | ===> btop++ v.1.4.0
2025/03/26 (11:57:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/26 (11:57:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/21 (21:14:09) | ===> btop++ v.1.4.0
2025/04/21 (21:14:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/21 (21:14:09) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/04/21 (21:14:18) | WARNING: Failed to join _runner thread on exit!

2025/04/27 (20:34:54) | ===> btop++ v.1.4.0
2025/04/27 (20:34:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/27 (20:34:54) | WARNING: ROCm SMI: Failed to get PCIe throughput
